"","name","position","specialty","education"
"3240","SURDYK,JOHN SCOTT","Faculty Associate","Init For Studies In Trnfm Entr","MBA 2003 Univ of Wisconsin-Madison"
"3241","SURESH,KRISHNAN","Professor","Mechanical Engineering","PHD 1998 Cornell University"
"3242","SURI,DEVIKA","Asst Faculty Assoc","Nutritional Sciences","MPH 2009 Tufts University"
"3243","SUROVI,LAUREN","Lecturer","Acad&amp;Prg-Noncredit","MA 2012 Middlebury College"
"3244","SURYANARAYANAN,SAINATH","Assoc Lecturer","Sociology","PHD 2009 Univ of Wisconsin-Madison"
"3245","SUSSMAN,MICHAEL R.","Professor","Biochemistry","PHD 1976 Michigan State University"
"3246","SUTULA,THOMAS PETER","Honorary Assoc/Fellow","Neurology","PHD 1985 University of Virginia"
"3247","SUZUKI,AUSSIE","Assistant Professor","Oncology","PHD 2010 Nat Inst for Academic Degrees"
"3248","SUZUKI,MASATOSHI","Associate Professor","Comparative Biosciences","PHD 1999 University of Tokyo"
"3249","SVAREN,JOHN","Professor","Comparative Biosciences","PHD 1992 Vanderbilt University"
"3250","SVENSON,JAMES ERNEST","Assoc Professor (Chs)","Emergency Medicine","MD 1980 University of Chicago"
"3251","SWACK,JEANNE","Professor","Mead Witter School Of Music","PHD 1988 Yale University"
"3252","SWAN,HEATHER","Senior Lecturer","English","PHD 2015 Univ of Wisconsin-Madison"
"3253","SWANEY,ROSS","Associate Professor","Chemical &amp; Biological Engr","PHD 1983 Carnegie-Mellon University"
"3254","SWANKE,JAMES","Lecturer","Risk &amp; Insurance","MBA 1981 Univ of Wisconsin-Madison"
"3255","SWARTLEY,OLIVIA MAY","Clinical Instructor","Pathobiological Sciences",NA
"3256","SWARTZ,ALEISHA","Clinical Instructor","Medical Sciences","DVM 2002 University of Georgia"
"3257","SWARTZENTRUBER,ELAINE KAY","Senior Lecturer","Religious St","PHD 1999 Emory University"
"3258","SWATKOWSKI,PAMELA","Adjunct Professor","Ms In Biotechnology Degree Prg","OQUAL  "
"3259","SWEET,JAMES","Professor","History","PHD 1999 Grad Sch &amp; Univ Center Of Cuny"
"3260","SWIFT,MICHAEL","Professor","Computer Sciences","PHD 2005 University of Washington"
"3261","SYAMKUMAR,MEENA","Asst Faculty Assoc","Computer Sciences","PHD 2019 Univ of Wisconsin-Madison"
"3262","SYDNOR,JUSTIN R.","Professor","Risk &amp; Insurance","PHD 2006 Univ of California Berkeley"
"3263","SYFOX,CHONTEL","Assistant Professor","Classic &amp; Ancient Near E Stds","PHD 2019 University of Notre Dame"
"3264","SYTSMA,KENNETH","Professor","Botany","PHD 1983 Washington University"
"3265","SZLUFARSKA,IZABELA","Professor","Materials Science&amp;Engineering","PHD 2002 Univ of Tennessee, Knoxville"
"3266","TABER,CHRIS","Professor","Economics","PHD 1995 University of Chicago"
"3267","TAHK,ALEX","Associate Professor","Political Science","PHD 2010 Stanford University"
"3268","TAHK,SUSANNAH","Associate Professor","Law School","JD 2007 Yale University"
"3269","TAI,STEPH","Professor","Law School","PHD 1997 Tufts University"
"3270","TAKADA,MARILIA","Clinical Instructor","Surgical Sciences","DVM 2004 Universidade de Sao Paulo"
"3271","TAKAHASHI,NAOMI","Asst Faculty Assoc","Social Work","MSW 2012 Univ of Wisconsin-Madison"
"3272","TALAAT,ADEL MOHAMED","Professor","Pathobiological Sciences","PHD 1998 Univ of MD Baltimore County"
"3273","TALARCZYK,ALAN","Dis Lecturer","Accting &amp; Info Sys","JD 1978 Univ of Wisconsin-Madison"
"3274","TAMPLIN,OWEN JAMES","Assistant Professor","Cell And Regenerative Biology","PHD 2009 University of Toronto"
"3275","TANG,WEIPING","Professor","Pharmacy","PHD 2005 Stanford University"
"3276","TANG,ZHENGZHENG","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2014 Univ Of NC At Chapel Hill"
"3277","TANNENBAUM,MATTHEW","Assoc Lecturer","Design Studies","M.ARCH  "
"3278","TANNER,ROBIN","Associate Professor","Marketing","PHD 2008 Duke University"
"3279","TANNU,SWAMIT SANDEEP","Assistant Professor","Computer Sciences","PHD 2020 Georgia Inst of Technology"
"3280","TANSEY,TIMOTHY NICHOLAS","Professor","Rehab Psychology &amp; Special Ed","PHD 2001 Univ of Wisconsin-Madison"
"3281","TANUMIHARDJO,SHERRY","Professor","Nutritional Sciences","PHD 1993 Iowa State Univ of Sci &amp; Tech"
"3282","TARHAN,BETUL","Lecturer","Inst Reg Intl Studies",NA
"3283","TARVER,BECKY","Senior Lecturer","English","MAT 1995 Univ of Wisconsin-Madison"
"3284","TAS,SINAN","Asst Prof L/I","Industrial &amp; Systems Engr","PHD 2012 Univ of Wisconsin-Madison"
"3285","TAYLOR,BRIAN","Assoc Lecturer","Communication Sci &amp; Disorders","AUD 2006 Central Michigan University"
"3286","TAYLOR,CHRISTOPHER","Professor","Mead Witter School Of Music","MA 1999 New England Cnsrvtry Of Music"
"3287","TAYLOR,HOWARD W","Adjunct Instructor","Law School","JD 2009 Univ of Wisconsin-Madison"
"3288","TAYLOR,JOLANDA VANDERWAL","Professor","German, Nordic &amp; Slavic","PHD 1987 Cornell University"
"3289","TAYLOR,MATTHEW","Lecturer","Classic &amp; Ancient Near E Stds","PHD 2012 Univ of Southern California"
"3290","TAYLOR,MICHAEL","Assistant Professor","Pharmacy","PHD 2002 University of Washington"
"3291","TAYLOR-MARSHALL,SANDRA","Lecturer","Curriculum And Instruction","MS 2012 Concordia University Wisconsin"
"3292","TEBBE,ELLIOT AARON","Assistant Professor","Nursing","PHD 2015 University of Florida"
"3293","TEEPLE,SCOTT","Professor","Mead Witter School Of Music","MM 2000 Univ of Michigan at Ann Arbor"
"3294","TEIXEIRA,LEANDRO","Assistant Professor","Pathobiological Sciences","DVM 2002 Instituto Unificado Paulista"
"3295","TEJEDO-HERRERO,FERNANDO","Associate Professor","Spanish And Portuguese","PHD 2005 Univ of Wisconsin-Madison"
"3296","TEMPLE,JACK","Clinical Instructor","Pharmacy","PHARMD 2004 Univ Of NC At Chapel Hill"
"3297","TEMTE,JONATHAN LANE","Professor (Chs)","Family Medicine","PHD 1993 Univ of Wisconsin-Madison"
"3298","TEODORESCU,MIHAELA","Professor","Medicine","MD 1992 Univ Med si Farm-Carol Davilla"
"3299","TERASAWA-GRILLEY,EI","Professor","Pediatrics","PHD 1966 Yokohama City University"
"3300","TERLAAK,ANN","Associate Professor","Management &amp; Human Resources","PHD 2002 U of California-Santa Barbara"
"3301","TERRY,PAUL W.","Professor","Physics","PHD 1981 University of Texas at Austin"
"3302","TERWILLIGER,PAUL M.","Professor","Mathematics","PHD 1982 Univ of IL at Urbana-Champaign"
"3303","TESLAA,JESSICA JOY","Asst Faculty Assoc","Wiscience","PHD 2014 Univ of Wisconsin-Madison"
"3304","THAL,SARAH","Professor","History","PHD 1999 Columbia University"
"3305","THATCHER,GRAHAM PAUL","Clinical Asst Prof","Surgical Sciences","DVM 2005 "
"3306","THEBAULT-SPIEKER,JACOB","Assistant Professor","Information School","PHD 2017 Univ of Minnesota-Twin Cities"
"3307","THEIN,JILL","Assoc Professor (Chs)","Family Medicine","DS 2010 ROCKY MOUNTAIN UNIVERSITY"
"3308","THEIS,MONICA LOUISE","Dis Lecturer","Food Science","MS 1988 Univ of Wisconsin-Madison"
"3309","THEISEN,CARA","Asst Faculty Assoc","Wiscience","PHD 2013 Univ of California Davis"
"3310","THELEN,DARRYL","Professor","Mechanical Engineering","PHD 1992 Univ of Michigan at Ann Arbor"
"3311","THEOBALD,ANNE LOUISE","Faculty Associate","French And Italian","PHD 2011 Univ of Wisconsin-Madison"
"3312","THERTUS,KETTY","Clinical Asst Prof","Psychiatry","MD 2010 Rutgers St Unv-New Brunswick"
"3313","THEVAMARAN,RAMATHASAN","Assistant Professor","Engineering Physics","PHD 2015 California Institute of Tech"
"3314","THIBEAULT,SUSAN","Professor","Surgery","PHD 2001 Univ of Wisconsin-Madison"
"3315","THIEL,ABIGAIL","Assoc Lecturer","Food Science","PHD  Univ of Wisconsin-Madison"
"3316","THIFFEAULT,JEAN-LUC","Professor","Mathematics","PHD 1998 University of Texas at Austin"
"3317","THIMMIG,LESLIE","Professor","Mead Witter School Of Music","PHD 1974 Yale University"
"3318","THOMA,DAN","Professor","Materials Science&amp;Engineering","PHD 1992 Univ of Wisconsin-Madison"
"3319","THOMA,SHARON L","Faculty Associate","Integrative Biology","PHD 1992 Michigan State University"
"3320","THOMAS,ALVIN","Assistant Professor","School Of Human Ecology","PHD 2013 Univ of Michigan at Ann Arbor"
"3321","THOMAS,MICHAEL","Professor","Bacteriology","PHD 1999 Univ of Wisconsin-Madison"
"3322","THOMAS,TYLER F.","Assistant Professor","Accting &amp; Info Sys","PHD 2013 Michigan State University"
"3323","THOMAS,ZEB","Assoc Lecturer","Geography","MS 2012 Univ of Minnesota-Twin Cities"
"3324","THOMPSON,ANITA","Professor","Biological Systems Engineering","PHD 2001 Univ Of Minnesota-St Paul"
"3325","THOMPSON,CRAIG","Professor","Marketing","PHD 1992 Univ of Tennessee, Knoxville"
"3326","THOMPSON,DAKOTAH RITTENHOUSE","Assistant Professor","Mechanical Engineering","PHD 2018 Univ of Michigan at Ann Arbor"
"3327","THOMPSON,DEAN A","Lecturer","Kinesiology","MS  Univ of Wisconsin-Milwaukee"
"3328","THOMPSON,KATRINA","Professor","African Cultural Studies","PHD 2004 Univ of Wisconsin-Madison"
"3329","THOMPSON,MINDI","Professor","Counseling Psychology","PHD 2008 University of Akron"
"3330","THOMPSON,RYAN J","Asst Professor (Chs)","Emergency Medicine","MD 2011 SUNY Health Sci Cntr-Syracuse"
"3331","THOMSON,JAMES A.","Professor","Cell And Regenerative Biology","PHD 1988 University of Pennsylvania"
"3332","THORLEIFSDOTTIR,KRISTIN","Assistant Professor","Planning &amp; Landscape Arch","PHD 2008 North Carolina State Univ"
"3333","THURBER,CLIFFORD","Professor","Geoscience","PHD 1981 Massachusetts Inst Of Tech"
"3334","THURBER,MARY","Clinical Instructor","Surgical Sciences","DVM 2014 "
"3335","THURLOW,JULIE","Faculty Associate","Nutritional Sciences","PHD 1985 Univ Of NC At Chapel Hill"
"3336","THURS,DANIEL PATRICK","Asst Faculty Assoc","Physics","PHD 2004 Univ of Wisconsin-Madison"
"3337","TIBBETTS,RANDAL SCOT","Professor","Human Oncology","PHD 1995 Northwestern University"
"3338","TIBORIS,MICHAEL GUS","Senior Lecturer","Academic Programs","PHD 2012 Univ of California San Diego"
"3339","TIDWELL,TAWNI L.","Assoc Lecturer","Asian Languages &amp; Cultures","PHD 2017 Emory University"
"3340","TIKOFF,BASIL","Professor","Geoscience","PHD 1994 Univ Of Minnesota-St Paul"
"3341","TILLER,HEATHER S","Assoc Faculty Assoc","Rehab Psychology &amp; Special Ed","PHD 2014 Univ of Wisconsin-Madison"
"3342","TILMANN,CHRISTOPHER","Faculty Associate","Genetics","PHD 2001 Duke University"
"3343","TIMBIE,PETER T.","Professor","Physics","PHD 1985 Princeton University"
"3344","TIMLER,TESSA","Assoc Lecturer","Counseling Psychology","BS 2014 Univ of Wisconsin-Madison"
"3345","TIMM,DANIEL JEFFREY","Faculty Associate","Kinesiology","EDD 2012 Walden University"
"3346","TIMM,STEVEN","Faculty Associate","English","MA 1988 Univ of Wisconsin-Madison"
"3347","TINGLUM,TRINA","Lecturer","Law School","JD 1989 Univ of Wisconsin-Madison"
"3348","TINJUM,JAMES","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Univ of Wisconsin-Madison"
"3349","TISCHAUSER,JEFF GARNETT","Lecturer","Wisconsin School Of Business","PHD  "
"3350","TISHLER,JENNIFER RYAN","Faculty Associate","Ctr For Rus East Eur Cent Asia","PHD 1999 Univ of Wisconsin-Madison"
"3351","TITELBAUM,MICHAEL","Professor","Philosophy","PHD 2008 Univ of California Berkeley"
"3352","TJOSTHEIM,SONJA S","Clinical Asst Prof","Medical Sciences","DVM 2012 University of Saskatchewan"
"3353","TOBIN,MICHAEL","Adjunct Instructor","Law School","JD 1979 University of Texas, Houston"
"3354","TOCHON,FRANCOIS V","Professor","Curriculum And Instruction","PHD 1997 University of Ottawa"
"3355","TODOROVIC,JELENA","Associate Professor","French And Italian","PHD 2009 Indiana University"
"3356","TOLLIVER,SARA E.","Clinical Instructor","Surgical Sciences","DVM 2016 St George's Univ Sch of Med"
"3357","TOLSON,YOLANDA MICHELLE","Clinical Professor","Academic Affairs","BS 1995 Univ of Wisconsin-Madison"
"3358","TOMA,CATALINA","Associate Professor","Communication Arts","PHD 2010 Cornell University"
"3359","TOMLINSON,KATY","Student Services Cord","Academic Affairs","MS 2008 Eastern Illinois University"
"3360","TOMPKINS,WILLIS J.","Professor Emer","Biomedical Engineering","PHD 1973 University of Pennsylvania"
"3361","TONG,JORDAN","Associate Professor","Operations &amp; Information Mgmt","PHD 2012 Duke University"
"3362","TONGDAENG,EVE","Lecturer","Counseling Psychology","MS 2013 Univ of Wisconsin-Madison"
"3363","TONONI,GIULIO","Professor","Psychiatry","PHD 1989 Univ degli Studi di Pisa"
"3364","TOWNSEND,EMILY","Assoc Lecturer","Information School","MLS 2013 Univ of Wisconsin-Madison"
"3365","TOWNSEND,PHILIP","Professor","Forest &amp; Wildlife Ecology","PHD 1997 Univ Of NC At Chapel Hill"
"3366","TOWNSEND,RICHARD H","Professor","Astronomy","PHD 1997 University of London"
"3367","TRACY,WILLIAM","Professor","Agronomy","PHD 1982 Cornell University"
"3368","TRAN,HUNG VINH","Associate Professor","Mathematics","PHD 2012 Univ of California Berkeley"
"3369","TRAVERS,BRITTANY G","Associate Professor","Kinesiology","PHD 2011 Univ of Alabama-Tuscaloosa"
"3370","TRAYNOR,SARAH ELIZABETH","Assoc Lecturer","Academic Affairs","PHD 2017 Univ of Wisconsin-Madison"
"3371","TREJO,SAM","Assistant Professor","Lafollette Sch Of Publ Affairs","PHD 2020 Stanford University"
"3372","TREMONTI,CHRISTY","Associate Professor","Astronomy","PHD 2003 Johns Hopkins University"
"3373","TREPANIER,LAUREN","Professor","Medical Sciences","PHD 1997 Cornell University"
"3374","TREST,MARIE","Assoc Faculty Assoc","Botany","MS 2006 Univ of Wisconsin-Madison"
"3375","TREVES,ADRIAN","Professor","Academic Programs","PHD 1997 Harvard University"
"3376","TREVINO-MURPHY,ALICIA","Assoc Lecturer","Social Work","MSW 2014 Univ of Wisconsin-Madison"
"3377","TREVOR,CHARLIE","Professor","Management &amp; Human Resources","PHD 1998 Cornell University"
"3378","TREZEK,BEVERLY JANE","Associate Professor","Rehab Psychology &amp; Special Ed","EDD 2004 Univ of Wisconsin-Madison"
"3379","TRIANA,MARIA","Associate Professor","Management &amp; Human Resources","PHD 2008 Texas A &amp; M University"
"3380","TRIGSTED,STEPHANIE","Asst Faculty Assoc","Kinesiology","PHD 2017 Univ of Wisconsin-Madison"
"3381","TRIMBELL,KOHL MARIE","Lecturer","Counseling Psychology","MAED  DePaul University"
"3382","TRIPOLI,GREGORY J.","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1986 Colorado State University"
"3383","TRIPP,AILI","Professor","Political Science","PHD 1990 Northwestern University"
"3384","TROTTER,MARY","Associate Professor","English","PHD 1996 Northwestern University"
"3385","TROWBRIDGE,AMY","Assistant Professor","Entomology","PHD 2012 Univ of Colorado at Boulder"
"3386","TRUE,JAMES MICHAEL","Adjunct Instructor","Law School","JD 2003 DePaul University"
"3387","TRUJILLO,MARIO","Associate Professor","Mechanical Engineering","PHD 2000 Univ of IL at Urbana-Champaign"
"3388","TRYON,ELIZABETH","Sr Outreach Spec","General Administration","MAT 2008 Edgewood College"
"3389","TUCKER,PATRICIA","Lecturer","Art","MFA 1999 Univ of Wisconsin-Madison"
"3390","TUERKHEIMER,FRANK M.","Professor Emer","Ctr For Jewish St","JD 1963 New York Law School"
"3391","TULI,SACHIN","Faculty Associate","Marketing","MS 2000 Univ of Wisconsin-Madison"
"3392","TUMARKIN,ANNA","Faculty Associate","German, Nordic &amp; Slavic","PHD 2009 Univ of Wisconsin-Madison"
"3393","TUN,SAN SAN HNIN","Faculty Associate","Se Asian Summer Studies Inst","PHD 2013 France"
"3394","TUREK,MICHELLE","Clinical Assoc Prof","Surgical Sciences","DVM 1998 University of Montreal"
"3395","TURNER,ANDREW","Lecturer","Law School","JD 2008 Univ of Wisconsin-Madison"
"3396","TURNER,ANDREW JASON","Lecturer","Counseling Psychology","EDM 2018 Univ of Wisconsin-Madison"
"3397","TURNER,ERICA","Associate Professor","Educational Policy Studies","PHD  Univ of California Berkeley"
"3398","TURNER,KRISTOPHER","Assoc Lecturer","Law School","JD 2020 Univ of Wisconsin-Madison"
"3399","TURNER,MATTHEW","Professor","Geography","PHD 1992 Univ of California Berkeley"
"3400","TURNER,MONICA G.","Professor","Integrative Biology","PHD 1985 University of Georgia"
"3401","TURNER,WENDY","Lecturer","Forest &amp; Wildlife Ecology",NA
"3402","TURNG,LIH-SHENG","Professor","Mechanical Engineering","PHD 1990 Cornell University"
"3403","TYLER,MITCHELL","Honorary Assoc/Fellow","Biomedical Engineering","MS 1986 Univ of California Berkeley"
"3404","TZAMOS,CHRISTOS","Assistant Professor","Computer Sciences","PHD 2017 Massachusetts Inst Of Tech"
"3405","UDVARI-SOLNER,ALICE","Faculty Associate","Curriculum And Instruction","PHD 1990 Univ of Wisconsin-Madison"
"3406","UHLRICH,DAN","Professor","Department Of Neuroscience","PHD 1983 Brown University"
"3407","ULLAND,TYLER KENT","Assistant Professor","Pathology&amp;Laboratory Medicine","PHD 2014 University of Iowa"
"3408","UNDERWOOD,JULIE","Professor","Ed Leadership&amp;Policy Analysis","PHD 1984 University of Florida"
"3409","UPAH,BARTHOLOMEW G","Lecturer","Counseling Psychology","EDM 2013 Clemson University"
"3410","URNESS,CHARLES TODD","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2012 Univ of Wisconsin-Madison"
"3411","URRUTIA,MATTIE","Faculty Associate","Soil Science","PHD 1989 U de Santiago de Compostela"
"3412","USECHE,ALLISON","Assistant Professor","History","PHD 2017 Columbia University"
"3413","USSISHKIN,DANIEL","Associate Professor","History","PHD 2007 Univ of California Berkeley"
"3414","VAID,UCHITA","Assistant Professor","School Of Human Ecology","PHD 2020 Cornell University"
"3415","VAIL,DAVID","Professor","Medical Sciences","DVM 1984 University of Saskatchewan"
"3416","VALENCIA,SARAH ELIZABETH","Assoc Lecturer","Social Work","MSSW 2007 Univ of Wisconsin-Madison"
"3417","VALEO COOKE,NINA","Faculty Associate","Gender And Women Studies","MS 2008 Univ of Wisconsin-Madison"
"3418","VALKO,BENEDEK","Professor","Mathematics","PHD 2004 Budapest Univ of Tech &amp; Econ"
"3419","VALLEY,JOHN W.","Professor","Geoscience","PHD 1980 Univ of Michigan at Ann Arbor"
"3420","VALLON,MARC","Professor","Mead Witter School Of Music","MFA 1977 Conserv Nat Arts et Metiers"
"3421","VAN  HALLGREN,CARRIE","Senior Lecturer","Theatre &amp; Drama","MFA 2006 Yale University"
"3422","VAN ASSELT,NATHANIEL C.","Clinical Asst Prof","Surgical Sciences","DVM  "
"3423","VAN DAN,REBECCA SUSAN","Assoc Lecturer","Information School","MLIS 1997 Univ of Wisconsin-Madison"
"3424","VAN DE WATER,MANON","Professor","German, Nordic &amp; Slavic","PHD 1996 Arizona State University"
"3425","VAN DEELEN,TIMOTHY","Professor","Forest &amp; Wildlife Ecology","PHD 1995 Michigan State University"
"3426","VAN DER WEIDE,DANIEL","Professor","Electrical &amp; Computer Engr","PHD 1992 Stanford University"
"3427","VAN DYKE JR.,KENNETH JOHN","Assoc Professor (Chs)","Anesthesiology","MD 2002 Univ of Wisconsin-Madison"
"3428","VAN KAN,PETER L E","Associate Professor","Kinesiology","PHD 1984 Univ of California Davis"
"3429","VAN LEHN,REID C","Assistant Professor","Chemical &amp; Biological Engr","PHD 2014 Massachusetts Inst Of Tech"
"3430","VAN MALE,THERESE ANN","Faculty Associate","Nursing","MSN 2014 Duke University"
"3431","VAN MELKEBEEK,DIETER","Professor","Computer Sciences","PHD 1999 University of Chicago"
"3432","VAN OS,JENNIFER","Assistant Professor","Animal And Dairy Sciences","PHD 2015 Univ of California Davis"
"3433","VAN PIJKEREN,JAN PETER","Associate Professor","Food Science","PHD 2007 Ireland (Eire)"
"3434","VAN RIJN,JORDAN","Lecturer","Agricultural&amp;Applied Economics","PHD 2018 Univ of Wisconsin-Madison"
"3435","VAN RYBROEK,GREGORY JOHN","Adjunct Asst Prof","Psychology","JD 1990 Univ of Wisconsin-Madison"
"3436","VAN SICKLEN,BARRET VILAS","Adjunct Instructor","Law School","JD 2006 Univ of Wisconsin-Madison"
"3437","VAN SWOL,LYN","Professor","Communication Arts","PHD 1998 Univ of IL at Urbana-Champaign"
"3438","VANCAMP,ELIJAH B.","Adjunct Instructor","Law School","JD 2007 University of Oregon"
"3439","VANDEN HEUVEL,MIKE","Professor","Classic &amp; Ancient Near E Stds","PHD 1988 Univ of Wisconsin-Madison"
"3440","VANDENBROUCKE,JUSTIN","Associate Professor","Physics","PHD 2009 Univ of California Berkeley"
"3441","VANDER ZANDEN,JAKE","Professor","Integrative Biology","PHD 1999 McGill University"
"3442","VANDERBURG,ANDREW","Assistant Professor","Astronomy","PHD 2017 Harvard University"
"3443","VANDERWALL,CASSANDRA M","Adjunct Asst Prof","Academic Affairs","PHD  Rush University"
"3444","VANVEEN,BARRY","Professor","Electrical &amp; Computer Engr","PHD 1986 Univ of Colorado at Boulder"
"3445","VARDI,URI","Professor","Mead Witter School Of Music","MM 1977 Yale University"
"3446","VARESCHI,MARK","Associate Professor","English","PHD 2011 Rutgers State Univ-Newark"
"3447","VARGAS,MARCELO R","Assistant Professor","Neurology","PHD 2006 Universidad de La Republica"
"3448","VARGAS-PRIETO,ALBERTO M","Faculty Associate","Lat Amer Carib Iber St","PHD 1998 Univ of Wisconsin-Madison"
"3449","VARGHESE,TOMY","Professor","Medical Physics","PHD 1995 University of Kentucky"
"3450","VARSAVA,NINA","Assistant Professor","Law School","JD 2018 Yale University"
"3451","VATAN,FLORENCE","Professor","French And Italian","PHD 2004 University of Chicago"
"3452","VAUGHAN,BRIAN DWIGHT","Lecturer","Ed Leadership&amp;Policy Analysis","JD 1999 Univ of Wisconsin-Madison"
"3453","VAVILOV,MAXIM G","Professor","Physics","PHD 2001 Cornell University"
"3454","VEERAMANI,RAJ","Professor","Industrial &amp; Systems Engr","PHD 1991 Purdue University"
"3455","VEITH,TONYA","Clinical Asst Prof","Communication Sci &amp; Disorders","AUD 2009 Indiana University"
"3456","VELLIQUETTE,MICHAEL JAMES","Faculty Associate","Art","MFA 2000 Univ of Wisconsin-Madison"
"3457","VELTEN,ANDREAS UDO","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2009 University Of New Mexico"
"3458","VEMUGANTI,RAGHU","Professor","Neurological Surgery","PHD 1991 University of Hyderabad"
"3459","VENKATARAMAN,SHIVARAM","Assistant Professor","Computer Sciences","PHD 2017 Univ of California Berkeley"
"3460","VENKATARAMANAN,GIRI","Professor","Electrical &amp; Computer Engr","PHD 1992 Univ of Wisconsin-Madison"
"3461","VENTURA,STEVE","Professor","Soil Science","PHD 1989 Univ of Wisconsin-Madison"
"3462","VENTURELLI,OPHELIA","Assistant Professor","Biochemistry","PHD 2013 California Institute of Tech"
"3463","VENTURINI,MICHELLE","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA  Univ of Wisconsin-Whitewater"
"3464","VERBRUGGE,MARIA","Clinical Instructor","Medical Sciences","DVM 2003 Univ of Wisconsin-Madison"
"3465","VERMILLION,KATIE LEE","Assoc Faculty Assoc","Genetics","PHD 2013 Univ of Minnesota-Twin Cities"
"3466","VESTLING,MARTHA M.","Senior Scientist","Chemistry","PHD 1967 Northwestern University"
"3467","VEZINA,CHAD M.","Professor","Comparative Biosciences","PHD 2003 SUNY at Buffalo"
"3468","VICKROY,CHERYL","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA 2017 Univ of Wisconsin-Madison"
"3469","VIEIRA,CATHERINE","Professor","Curriculum And Instruction","PHD 2010 Univ of Wisconsin-Madison"
"3470","VILA,ANNE","Professor","French And Italian","PHD 1990 Johns Hopkins University"
"3471","VILLAGRAN,JOSE G","Assoc Lecturer","Chicana/O And Latina/O Studies","PHD 2019 University of Texas at Austin"
"3472","VIMONT,DANIEL","Professor","Atmospheric &amp; Oceanic Sciences","PHD 2002 University of Washington"
"3473","VINCENT,ERIC B.","Honorary Assoc/Fellow","Ms In Biotechnology Degree Prg",NA
"3474","VINEY,GRETCHEN","Dis Clinical Prof","Law School","JD 1978 Univ of Wisconsin-Madison"
"3475","VITCENDA,ANGELA K.","Clinical Asst Prof","Family Medicine","MS 1986 Univ of Wisconsin-Madison"
"3476","VIVIAN,EVA","Professor (Chs)","Pharmacy","PHARMD 1995 Univ of Illinois at Chicago"
"3477","VIVIANO,KATRINA ROSE","Clinical Assoc Prof","Medical Sciences","DVM 2003 Univ of Wisconsin-Madison"
"3478","VLACH,HALEY","Associate Professor","Educational Psychology","PHD 2012 Univ of California Los Angeles"
"3479","VOGE,CASSIE","Clinical Assoc Prof","Nursing","MSN 2000 Univ of Wisconsin-Madison"
"3480","VOILS,CORRINE I","Professor","Surgery","PHD 2001 University of Kentucky"
"3481","VON SIMSON,CHARLES","Clinical Assoc Prof","Law School","JD 1995 Brooklyn Law School"
"3482","VOPAL,EDWARD JOHN","Adjunct Instructor","Law School","JD 1994 Valparaiso University"
"3483","VOYLES,PAUL","Professor","Materials Science&amp;Engineering","PHD 2001 Univ of IL at Urbana-Champaign"
"3484","VRANAS,PETER B. M.","Professor","Philosophy","PHD 2001 Univ of Michigan at Ann Arbor"
"3485","VUE,GOODSON","Lecturer","Vp Diversity And Climate Prog","MS 2010 Univ of Wisconsin-Whitewater"
"3486","WACKER,LEEANN SOO","Professor L/I","Civil &amp; Environmental Engr","M.ARCH  "
"3487","WAGGONER,JESS","Assistant Professor","Gender And Women Studies","PHD 2016 Indiana University"
"3488","WAGH,SIDDESH","Visiting Asst Prof","Mathematics","PHD 2019 University of Oklahoma"
"3489","WAGNER,AMY LEE","Lecturer","Human Development&amp;Family Study","PHD 2018 Univ of California Davis"
"3490","WAGNER,BRIT","Assoc Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2020 Univ of Wisconsin-Madison"
"3491","WAGNER,MICHAEL","Professor","Journalism&amp;Mass Communication","PHD 2006 Indiana University"
"3492","WAGNER,MIKE","Assistant Professor","Mechanical Engineering","PHD 2017 Colorado School of Mines"
"3493","WAGNER,ROB","Assoc Faculty Assoc","Theatre &amp; Drama","MFA 1994 University of Texas at Austin"
"3494","WAGNER,TERA HOLTZ","Faculty Associate","Life Sciences Communication","BA 2013 Univ of Wisconsin-Madison"
"3495","WAGNER,TIAHA","Clinical Instructor","Academic Affairs","PHARMD 2016 Univ of Wisconsin-Madison"
"3496","WAGNER,TIMOTHY J","Lecturer","Atmospheric &amp; Oceanic Sciences","PHD 2011 Univ of Wisconsin-Madison"
"3497","WAHEED,SANA","Asst Professor (Chs)","Medicine","MD 2011 Aga Khan University"
"3498","WAKAI,RONALD T.","Professor","Medical Physics","PHD 1987 Univ of IL at Urbana-Champaign"
"3499","WAKKER,BASTIAAN","Assoc Lecturer","Astronomy","PHD 1990 University of Groningen"
"3500","WALASZEK,ART","Professor (Chs)","Psychiatry","MD 1997 Northwestern University"
"3501","WALBRANDT PIGARELLI,DENISE","Assoc Professor (Chs)","Pharmacy","PHARMD 1993 Univ of Wisconsin-Madison"
"3502","WALDEN,JUSTINE ANGELIQUE","Lecturer","History","PHD 2016 Yale University"
"3503","WALDRON,ALEX","Assistant Professor","Mathematics","PHD 2014 Columbia University"
"3504","WALEFFE,FABIAN","Professor","Mathematics","PHD 1989 Massachusetts Inst Of Tech"
